Labels,x,y
etiqueta1,0.513388981,0.613414892
etiqueta2,0.832307866,0.497926964
etiqueta3,0.737484979,0.91246748
etiqueta4,0.661623291,0.783084108
etiqueta5,0.766407041,0.281390065
etiqueta6,0.19074989,0.63752321
etiqueta7,0.191422418,0.327415997
etiqueta8,0.502152206,0.671343415
etiqueta9,0.260048908,0.889944703
etiqueta10,0.663788517,0.205718078
etiqueta11,0.695368416,0.514814442
etiqueta12,0.741377577,0.718443425
etiqueta13,0.251543176,0.245942214
etiqueta14,0.456324691,0.26319765
etiqueta15,0.842057686,0.991885507
etiqueta16,0.933387983,0.379125352
etiqueta17,0.531954156,0.818237394
etiqueta18,0.128242126,0.782302105
etiqueta19,0.765952959,0.008059941
etiqueta20,0.620630541,0.312215204
etiqueta21,0.418735933,0.821965163
etiqueta22,0.534830681,0.285400634
etiqueta23,0.253273348,0.626694695
etiqueta24,0.232674002,0.186548921
etiqueta25,0.281289451,0.578016158
etiqueta26,0.804153521,0.988593016
etiqueta27,0.828626457,0.64433079
etiqueta28,0.7583059,0.01836343
etiqueta29,0.91743131,0.717796023
etiqueta30,0.962082597,0.936498752
etiqueta31,0.840785654,0.088428839
etiqueta32,0.165705541,0.65578471
etiqueta33,0.597704895,0.353134671
etiqueta34,0.044130401,0.478298655
etiqueta35,0.887707413,0.045883174
etiqueta36,0.090670495,0.579047287
etiqueta37,0.819112961,0.296038707
etiqueta38,0.120542783,0.397891469
etiqueta39,0.391950639,0.12120356
etiqueta40,0.171868863,0.125571017
etiqueta41,0.319994175,0.727914315
etiqueta42,0.285721303,0.182764078
etiqueta43,0.289115059,0.348468806
etiqueta44,0.237533232,0.361360308
etiqueta45,0.801567674,0.752542777
etiqueta46,0.61924781,0.884797585
etiqueta47,0.482131755,0.718251714
etiqueta48,0.758655948,0.395732763
etiqueta49,0.862289716,0.441680932
etiqueta50,0.759066459,0.193478852
etiqueta51,0.596536781,0.639723316
etiqueta52,0.157684261,0.667858221
etiqueta53,0.840868077,0.595607922
etiqueta54,0.189474477,0.724323226
etiqueta55,0.488706472,0.587417928
etiqueta56,0.707790491,0.447352601
etiqueta57,0.713743966,0.919053288
etiqueta58,0.021093349,0.150413644
etiqueta59,0.743387802,0.982032845
etiqueta60,0.914822064,0.26576192
etiqueta61,0.78339004,0.762250468
etiqueta62,0.487381241,0.849741125
etiqueta63,0.214408669,0.952114029
etiqueta64,0.501593778,0.226840824
etiqueta65,0.611643228,0.44501617
etiqueta66,0.21480086,0.492192694
etiqueta67,0.397690463,0.024427907
etiqueta68,0.797384458,0.811923866
etiqueta69,0.815780843,0.164871732
etiqueta70,0.017672286,0.335577943
etiqueta71,0.865966634,0.159915149
etiqueta72,0.138331762,0.432859581
etiqueta73,0.331543657,0.02556337
etiqueta74,0.363556892,0.559580325
etiqueta75,0.255163593,0.030246093
etiqueta76,0.273013774,0.089989371
etiqueta77,0.36529333,0.55107307
etiqueta78,0.333687442,0.457843288
etiqueta79,0.934708676,0.355073829
etiqueta80,0.511994774,0.068181977
etiqueta81,0.810561005,0.148298603
etiqueta82,0.380477833,0.595556729
etiqueta83,0.869454406,0.656470481
etiqueta84,0.891864893,0.332404626
etiqueta85,0.975320055,0.570592017
etiqueta86,0.097255384,0.253970142
etiqueta87,0.209344819,0.590001226
etiqueta88,0.854392936,0.753529554
etiqueta89,0.438489598,0.368424534
etiqueta90,0.500891931,0.346852996
etiqueta91,0.800967249,0.358487465
etiqueta92,0.472841858,0.556216006
etiqueta93,0.926569728,0.381284354
etiqueta94,0.942679976,0.93649458
etiqueta95,0.885378739,0.11382669
etiqueta96,0.525996452,0.251103261
etiqueta97,0.820627276,0.55545295
etiqueta98,0.693230263,0.570729505
etiqueta99,0.537098668,0.715953893
etiqueta100,0.013650775,0.514977652
