Labels,x,y
etiqueta1,0.497602768,0.833475371
etiqueta2,0.412841684,0.062389922
etiqueta3,0.051758223,0.164270235
etiqueta4,0.747581257,0.269008712
etiqueta5,0.572736881,0.978808275
etiqueta6,0.673747705,0.295282268
etiqueta7,0.146635965,0.603413505
etiqueta8,0.958429891,0.168703181
etiqueta9,0.599661059,0.658138145
etiqueta10,0.785059481,0.876431271
etiqueta11,0.020074912,0.814670904
etiqueta12,0.673287191,0.186000663
etiqueta13,0.110495885,0.490766639
etiqueta14,0.977516197,0.090157073
etiqueta15,0.378199056,0.013848004
etiqueta16,0.797547274,0.073338481
etiqueta17,0.920919282,0.37265135
etiqueta18,0.694372525,0.537448989
etiqueta19,0.813401621,0.248766613
etiqueta20,0.629708855,0.062818971
etiqueta21,0.133147382,0.704050072
etiqueta22,0.535705704,0.652848732
etiqueta23,0.016557013,0.562304701
etiqueta24,0.611286242,0.108152027
etiqueta25,0.553570831,0.047668057
etiqueta26,0.027070924,0.471572476
etiqueta27,0.438853593,0.759626454
etiqueta28,0.951026302,0.507443877
etiqueta29,0.453664864,0.692336534
etiqueta30,0.542361205,0.917279282
etiqueta31,0.175324612,0.369495235
etiqueta32,0.198501232,0.953592045
etiqueta33,0.809883561,0.544597277
etiqueta34,0.411336314,0.418729999
etiqueta35,0.546669728,0.321070992
etiqueta36,0.408118904,0.047768963
etiqueta37,0.185098384,0.48525422
etiqueta38,0.202059143,0.100897758
etiqueta39,0.304415769,0.741131066
etiqueta40,0.96318679,0.509252727
etiqueta41,0.939095685,0.077732168
etiqueta42,0.566657375,0.24650412
etiqueta43,0.292557255,0.982826553
etiqueta44,0.744621226,0.750322131
etiqueta45,0.274745821,0.763073529
etiqueta46,0.846981904,0.902976968
etiqueta47,0.493782754,0.184764628
etiqueta48,0.620657739,0.43923922
etiqueta49,0.995310463,0.181807628
etiqueta50,0.79547141,0.648348301
etiqueta51,0.910494281,0.880975138
etiqueta52,0.240539598,0.723790189
etiqueta53,0.80369754,0.035455265
etiqueta54,0.947331817,0.21077359
etiqueta55,0.661466867,0.165065565
etiqueta56,0.346926766,0.659251209
etiqueta57,0.250849162,0.355407908
etiqueta58,0.223615121,0.068024876
etiqueta59,0.015557365,0.322255509
etiqueta60,0.676524648,0.533616191
etiqueta61,0.545116014,0.293507721
etiqueta62,0.173147454,0.648140604
etiqueta63,0.786661781,0.358393203
etiqueta64,0.200592296,0.999805088
etiqueta65,0.404329297,0.680472205
etiqueta66,0.832146509,0.678900357
etiqueta67,0.845076689,0.968502708
etiqueta68,0.233541841,0.646592275
etiqueta69,0.023504859,0.98729974
etiqueta70,0.600356033,0.90653546
etiqueta71,0.260627257,0.710390665
etiqueta72,0.356423892,0.397237398
etiqueta73,0.316243644,0.246045375
etiqueta74,0.181870648,0.01189151
etiqueta75,0.025605332,0.03232078
