Labels,x,y
etiqueta1,0.975320436,0.082284621
etiqueta2,0.401049396,0.71640364
etiqueta3,0.023781495,0.809592657
etiqueta4,0.190871597,0.658147729
etiqueta5,0.687283232,0.176399612
etiqueta6,0.172861452,0.66877822
etiqueta7,0.859658084,0.281326604
etiqueta8,0.484481859,0.360426856
etiqueta9,0.365225066,0.054673686
etiqueta10,0.956701371,0.705002012
etiqueta11,0.123248043,0.370810864
etiqueta12,0.13238165,0.276270048
etiqueta13,0.538315049,0.262228287
etiqueta14,0.870972436,0.142557788
etiqueta15,0.138005188,0.374348404
etiqueta16,0.116235526,0.220315408
etiqueta17,0.758218063,0.991248124
etiqueta18,0.297085461,0.029397037
etiqueta19,0.117470703,0.601205311
etiqueta20,0.239230321,0.301524919
etiqueta21,0.273905491,0.313312176
etiqueta22,0.705216685,0.599650699
etiqueta23,0.498699004,0.178888765
etiqueta24,0.02120623,0.969503791
etiqueta25,0.867265688,0.782692254
