Labels,x,y
etiqueta1,0.099611811,0.715562328
etiqueta2,0.335146796,0.066456066
etiqueta3,0.968882699,0.773114996
etiqueta4,0.670644089,0.686599787
etiqueta5,0.407548195,0.031172206
etiqueta6,0.259793177,0.857912266
etiqueta7,0.468161761,0.998656549
etiqueta8,0.343724253,0.422969156
etiqueta9,0.215174446,0.086138714
etiqueta10,0.437285419,0.509170003
etiqueta11,0.483397333,0.426923314
etiqueta12,0.91239263,0.618391266
etiqueta13,0.422181608,0.903586809
etiqueta14,0.741016983,0.433633888
etiqueta15,0.917325503,0.812961929
etiqueta16,0.017531473,0.406085785
etiqueta17,0.50459283,0.445830622
etiqueta18,0.469828081,0.064341204
etiqueta19,0.397403177,0.141019973
etiqueta20,0.148200093,0.038174088
etiqueta21,0.580110042,0.790899555
etiqueta22,0.465935772,0.399180941
etiqueta23,0.645994108,0.050731487
etiqueta24,0.698363574,0.065007379
etiqueta25,0.81919853,0.333412139
etiqueta26,0.962244633,0.41305706
etiqueta27,0.420240967,0.448909592
etiqueta28,0.367692126,0.945673132
etiqueta29,0.175549674,0.907603955
etiqueta30,0.036932127,0.823835435
etiqueta31,0.595796045,0.848806168
etiqueta32,0.120374491,0.37340661
etiqueta33,0.666920993,0.096296931
etiqueta34,0.588638767,0.955908742
etiqueta35,0.045453982,0.807690837
etiqueta36,0.49000263,0.283048565
etiqueta37,0.731718491,0.454388168
etiqueta38,0.725523326,0.830949321
etiqueta39,0.856471781,0.248254121
etiqueta40,0.361325574,0.428235828
etiqueta41,0.695946908,0.51534457
etiqueta42,0.132248444,0.771481699
etiqueta43,0.354074864,0.797820732
etiqueta44,0.019132031,0.129564532
etiqueta45,0.433529228,0.448702358
etiqueta46,0.134688755,0.01412486
etiqueta47,0.495088837,0.660809339
etiqueta48,0.904357835,0.23208416
etiqueta49,0.206671047,0.588132017
etiqueta50,0.186834566,0.848593294
etiqueta51,0.262116404,0.159323628
etiqueta52,0.371603612,0.854217259
etiqueta53,0.034459432,0.80148467
etiqueta54,0.020407927,0.273913437
etiqueta55,0.5724745,0.497119541
etiqueta56,0.45777128,0.860305628
etiqueta57,0.728830555,0.908436995
etiqueta58,0.335279539,0.594612926
etiqueta59,0.728878982,0.473497921
etiqueta60,0.72211205,0.02023979
etiqueta61,0.839916138,0.853946328
etiqueta62,0.206658103,0.591726622
etiqueta63,0.039454807,0.614444092
etiqueta64,0.571964707,0.741888113
etiqueta65,0.57446618,0.610795577
etiqueta66,0.621314126,0.030506391
etiqueta67,0.158031886,0.28772615
etiqueta68,0.711472582,0.0710384
etiqueta69,0.674809276,0.926915075
etiqueta70,0.171495135,0.289071854
etiqueta71,0.010273736,0.264677507
etiqueta72,0.963136049,0.912677643
etiqueta73,0.769873129,0.69396458
etiqueta74,0.229520338,0.987862403
etiqueta75,0.034740198,0.941667143
etiqueta76,0.035306269,0.766730172
etiqueta77,0.388677151,0.946705255
etiqueta78,0.180023658,0.770456496
etiqueta79,0.551346023,0.272394342
etiqueta80,0.638338899,0.476651726
etiqueta81,0.273344855,0.465670118
etiqueta82,0.407595119,0.124618309
etiqueta83,0.78620434,0.082622207
etiqueta84,0.835294283,0.046472178
etiqueta85,0.208988176,0.341111206
etiqueta86,0.087618958,0.706424222
etiqueta87,0.798035194,0.630050195
etiqueta88,0.043619571,0.69850275
etiqueta89,0.30316158,0.29171712
etiqueta90,0.112128693,0.017077431
etiqueta91,0.763642198,0.901998727
etiqueta92,0.041995226,0.776153824
etiqueta93,0.165394082,0.213902112
etiqueta94,0.672757516,0.839195292
etiqueta95,0.76520785,0.468837178
etiqueta96,0.828052633,0.525258651
etiqueta97,0.246884536,0.818062217
etiqueta98,0.655286546,0.415371215
etiqueta99,0.642416499,0.588228874
etiqueta100,0.23702041,0.689069327
etiqueta101,0.161969727,0.980969935
etiqueta102,0.340295754,0.621419188
etiqueta103,0.437767102,0.820836095
etiqueta104,0.059105067,0.543974335
etiqueta105,0.341154319,0.551163133
etiqueta106,0.197309669,0.515716049
etiqueta107,0.812467003,0.345039592
etiqueta108,0.338683418,0.072906136
etiqueta109,0.648771198,0.815017595
etiqueta110,0.657629448,0.203579592
etiqueta111,0.325995535,0.765870499
etiqueta112,0.555340628,0.377113396
etiqueta113,0.426702016,0.689897889
etiqueta114,0.201228105,0.8752483
etiqueta115,0.071402799,0.957111335
etiqueta116,0.720412324,0.789901367
etiqueta117,0.038577208,0.042392552
etiqueta118,0.353686024,0.018205569
etiqueta119,0.64368851,0.751915076
etiqueta120,0.138215399,0.937187461
etiqueta121,0.505784907,0.318276145
etiqueta122,0.250222233,0.678241977
etiqueta123,0.845125727,0.194423477
etiqueta124,0.595304917,0.767950113
etiqueta125,0.60390509,0.519919246
etiqueta126,0.094367121,0.786254063
etiqueta127,0.201667777,0.637822364
etiqueta128,0.977414465,0.230213544
etiqueta129,0.24248984,0.329430936
etiqueta130,0.254096963,0.123866242
etiqueta131,0.539488024,0.773015566
etiqueta132,0.992387258,0.325298707
etiqueta133,0.649274865,0.286888103
etiqueta134,0.143566991,0.193237967
etiqueta135,0.859983379,0.405792809
etiqueta136,0.051033278,0.003167176
etiqueta137,0.26704344,0.667872801
etiqueta138,0.124558945,0.490520777
etiqueta139,0.104219437,0.728529852
etiqueta140,0.357549081,0.448451204
etiqueta141,0.539348654,0.422037685
etiqueta142,0.413149359,0.792417801
etiqueta143,0.122868329,0.098859508
