Labels,x,y
etiqueeta1,0.171005838,0.063697373
etiqueeta2,0.559936405,0.255455103
etiqueeta3,0.802578424,0.519893947
etiqueeta4,0.564773011,0.23041288
etiqueeta5,0.67879621,0.807214369
etiqueeta6,0.809403081,0.520922502
etiqueeta7,0.520515343,0.204479099
etiqueeta8,0.271016665,0.404218124
etiqueeta9,0.03377769,0.003088237
etiqueeta10,0.142826967,0.56467307
etiqueeta11,0.030379939,0.084501941
etiqueeta12,0.574681718,0.221656313
etiqueeta13,0.831349564,0.454443516
etiqueeta14,0.603688506,0.913887506
etiqueeta15,0.817482563,0.480868503
etiqueeta16,0.080539189,0.170226146
etiqueeta17,0.922815985,0.765773971
etiqueeta18,0.195587287,0.016403214
etiqueeta19,0.961996071,1.198861628
etiqueeta20,0.162690561,0.558311877
etiqueeta21,0.640741229,0.956452497
etiqueeta22,0.699045505,0.809975584
etiqueeta23,0.959410007,0.683813188
etiqueeta24,0.969693295,0.953729271
etiqueeta25,0.14992645,0.488700924
etiqueeta26,0.635919224,0.442237198
etiqueeta27,0.93385489,0.762230877
etiqueeta28,0.384815693,0.183353044
etiqueeta29,0.19704096,0.173267194
etiqueeta30,0.3534281,0.584344542
etiqueeta31,0.17977964,0.349172726
etiqueeta32,0.758605839,0.888413176
etiqueeta33,0.911238403,0.992515774
etiqueeta34,0.824148194,0.778938919
etiqueeta35,0.519628104,0.772023904
etiqueeta36,0.400879545,0.488316332
etiqueeta37,0.875788337,1.071092485
etiqueeta38,0.455401681,0.386963756
etiqueeta39,0.346903231,0.188969704
etiqueeta40,0.752535665,1.089088456
etiqueeta41,0.768257692,0.870419587
etiqueeta42,0.228894664,-0.143425923
etiqueeta43,0.57310774,0.424554282
etiqueeta44,0.638496985,1.072482961
etiqueeta45,0.096601951,0.447343056
etiqueeta46,0.327019585,0.425028298
etiqueeta47,0.079380076,0.411953179
etiqueeta48,0.93070226,1.122033688
etiqueeta49,0.755316552,0.770074599
etiqueeta50,0.273956536,0.714516143
etiqueeta51,0.139542535,0.226336601
etiqueeta52,0.408054708,0.415407239
etiqueeta53,0.715298518,0.614923369
etiqueeta54,0.289845603,0.380180012
etiqueeta55,0.207834927,0.215979777
etiqueeta56,0.101612527,-0.161900061
etiqueeta57,0.344573875,0.181624906
etiqueeta58,0.367356302,0.46006652
etiqueeta59,0.249058741,0.227664659
etiqueeta60,0.141861207,0.446098273
etiqueeta61,0.835293403,1.165279158
etiqueeta62,0.482132631,0.564386002
etiqueeta63,0.998143665,1.084921583
etiqueeta64,0.919718492,1.365534167
etiqueeta65,0.349494012,0.489389059
etiqueeta66,0.016003396,0.044490606
etiqueeta67,0.936933858,1.023445377
etiqueeta68,0.744531488,0.801435336
etiqueeta69,0.688898075,0.491023522
etiqueeta70,0.903063494,0.93867999
etiqueeta71,0.738157457,0.502876655
etiqueeta72,0.686212143,0.954257809
etiqueeta73,0.27524098,0.254493633
etiqueeta74,0.173054089,0.023924978
etiqueeta75,0.20672532,-0.004781904
etiqueeta76,0.25529761,0.368195894
etiqueeta77,0.803596507,0.780343454
etiqueeta78,0.406086252,0.604091497
etiqueeta79,0.006523492,0.104696888
etiqueeta80,0.179404621,0.089788941
etiqueeta81,0.031306721,0.011722798
etiqueeta82,0.659703686,0.928855686
etiqueeta83,0.363578427,0.345310656
etiqueeta84,0.842981853,0.867165126
etiqueeta85,0.677615038,0.522170548
etiqueeta86,0.059345484,-0.267315601
etiqueeta87,0.404114411,0.418178041
etiqueeta88,0.816237041,1.047465527
etiqueeta89,0.230753958,0.246693249
etiqueeta90,0.848753909,0.838759224
etiqueeta91,0.649464761,0.758033329
etiqueeta92,0.455247046,0.188020645
etiqueeta93,0.042542893,-0.283588625
etiqueeta94,0.570904715,0.503688371
etiqueeta95,0.97857234,0.870808461
etiqueeta96,0.608627958,0.797935347
etiqueeta97,0.921970447,0.821818507
etiqueeta98,0.462646149,0.688938083
etiqueeta99,0.062330162,0.031629101
etiqueeta100,0.728225106,0.501860573
etiqueeta101,0.64888596,0.809302748
etiqueeta102,0.612465881,0.823893871
etiqueeta103,0.231901725,0.274602144
etiqueeta104,0.449123945,0.309860715
etiqueeta105,0.373995311,0.489813545
etiqueeta106,0.244953552,0.265540739
etiqueeta107,0.339202757,0.370852574
etiqueeta108,0.445200915,0.455375504
etiqueeta109,0.619317789,0.446806718
etiqueeta110,0.420644423,0.479280578
etiqueeta111,0.125339947,0.269524468
etiqueeta112,0.476579331,0.495171323
etiqueeta113,0.517462561,0.550044545
etiqueeta114,0.989592104,1.122028286
etiqueeta115,0.719533647,0.935169242
etiqueeta116,0.101019785,0.034032292
etiqueeta117,0.2139184,0.413978054
etiqueeta118,0.72900761,0.30873056
etiqueeta119,0.59754718,0.863873989
etiqueeta120,0.565514486,0.751804683
etiqueeta121,0.075574133,-0.363604255
etiqueeta122,0.067254462,-0.036332121
etiqueeta123,0.978313258,0.90919586
etiqueeta124,0.581791039,0.169908194
etiqueeta125,0.198521558,0.150201749
