Labels,x,y
etiqueta1,0.309369728,0.279283038
etiqueta2,0.668979646,0.79826837
etiqueta3,0.360984512,0.606617344
etiqueta4,0.21073319,0.478497445
etiqueta5,0.389216887,0.314587228
etiqueta6,0.385717535,0.861628745
etiqueta7,0.390125729,0.50152302
etiqueta8,0.716554973,0.343836291
etiqueta9,0.59283925,0.297202347
etiqueta10,0.086563985,-0.22983271
etiqueta11,0.458191862,0.383740146
etiqueta12,0.180833075,0.164785153
etiqueta13,0.147200469,0.121149463
etiqueta14,0.254400952,0.273620487
etiqueta15,0.674956843,0.531174286
etiqueta16,0.084469244,0.47355757
etiqueta17,0.495459386,0.554676186
etiqueta18,0.325954527,0.129287548
etiqueta19,0.595552361,0.740584218
etiqueta20,0.13749353,0.283026461
etiqueta21,0.969042251,0.824182821
etiqueta22,0.998783743,0.830371832
etiqueta23,0.963934946,1.112705447
etiqueta24,0.13034247,-0.134751724
etiqueta25,0.470234748,0.269079296
etiqueta26,0.013223022,0.092080042
etiqueta27,0.989735872,1.090656873
etiqueta28,0.47952335,0.111001872
etiqueta29,0.172478575,0.111229002
etiqueta30,0.725551193,0.467624334
etiqueta31,0.489249481,0.607007017
etiqueta32,0.593772206,0.156465125
etiqueta33,0.687927605,0.65611865
etiqueta34,0.187840187,0.306240835
etiqueta35,0.928112131,0.808734691
etiqueta36,0.583909529,0.43266463
etiqueta37,0.872527165,0.839862059
etiqueta38,0.758891281,0.834711036
etiqueta39,0.114142951,0.214895534
etiqueta40,0.47736484,0.617801135
etiqueta41,0.796027712,0.911615241
etiqueta42,0.892974952,0.614251535
etiqueta43,0.150017486,-0.007180726
etiqueta44,0.887763499,0.543079102
etiqueta45,0.693749245,1.044524838
etiqueta46,0.971159331,0.914842289
etiqueta47,0.698126924,0.743428694
etiqueta48,0.63101767,0.403753984
etiqueta49,0.591142743,0.707717197
etiqueta50,0.062822843,-0.043979352
etiqueta51,0.235601761,0.120954803
etiqueta52,0.805644187,0.464157503
etiqueta53,0.929047644,0.557009956
etiqueta54,0.516026386,0.555508319
etiqueta55,0.020672158,-0.077672986
etiqueta56,0.890087665,0.935688492
etiqueta57,0.00599194,0.040163902
etiqueta58,0.024390403,0.081310583
etiqueta59,0.383714803,0.303328484
etiqueta60,0.117883219,-0.35770971
etiqueta61,0.604803562,0.305866432
etiqueta62,0.818638812,0.404139283
etiqueta63,0.312698097,0.253924325
etiqueta64,0.784273947,0.858686594
etiqueta65,0.810377482,0.929148774
etiqueta66,0.860474857,0.969363593
etiqueta67,0.602708456,0.507729883
etiqueta68,0.82863347,0.615940049
etiqueta69,0.577986588,0.891105597
etiqueta70,0.076530923,-0.155541574
etiqueta71,0.318049508,0.124613905
etiqueta72,0.474942705,0.840974914
etiqueta73,0.490381025,0.688653422
etiqueta74,0.548042532,0.694400987
etiqueta75,0.232871523,0.082535978
etiqueta76,0.084575961,0.280761776
etiqueta77,0.505874883,0.591515253
etiqueta78,0.753944532,0.757626581
etiqueta79,0.87469943,0.981161336
etiqueta80,0.350040133,0.434832762
etiqueta81,0.253534108,0.073524706
etiqueta82,0.407963139,0.276793168
etiqueta83,0.699563122,0.726032516
etiqueta84,0.642100753,0.810462879
etiqueta85,0.616260202,0.778454659
etiqueta86,0.97998945,0.583132437
etiqueta87,0.39254916,0.412823228
etiqueta88,0.913644915,1.068212356
etiqueta89,0.780334337,1.096341451
etiqueta90,0.561804341,0.577853785
etiqueta91,0.926812703,1.046656172
etiqueta92,0.133102193,-0.091133998
etiqueta93,0.838856445,0.612683927
etiqueta94,0.386409653,0.531807027
etiqueta95,0.602424628,0.655443924
etiqueta96,0.505916683,0.667007678
etiqueta97,0.081099912,0.220819891
etiqueta98,0.700769215,0.91608019
etiqueta99,0.67540442,0.285569601
etiqueta100,0.991927062,1.395824463
